district,population
Thoothukkudi,1750176
Hisar,1743931
Cachar,1736617
Hazaribagh,1734495
Namakkal,1726601
Shivpuri,1726050
West Tripura,1725739
Sant Kabir Nagar,1715183
East Delhi,1709346
Buxar,1706352
Valsad,1705678
Bidar,1703300
Bhind,1703005
Balaghat,1701698
Puri,1698730
Dehradun,1696694
Barpeta,1693622
Kishanganj,1690400
Jalaun,1689974
Dakshin Dinajpur,1676276
Khagaria,1666886
Chitradurga,1659456
Osmanabad,1657576
Kannauj,1656616
Sangrur,1655169
Balangir,1648997
Udham Singh Nagar,1648902
Nandurbar,1648295
Gautam Buddha Nagar,1648115
Bhiwani,1634445
Dausa,1634409
Kaimur,1626384
Janjgir Champa,1619707
Pudukkottai,1618345
Nagapattinam,1616450
Ratnagiri,1615069
Kaushambi,1599596
Haveri,1597668
Hoshiarpur,1586625
Etawah,1581810
Sant Ravidas Nagar,1578213
Kalahandi,1576869
Betul,1575362
Mahamaya Nagar,1564708
Dewas,1563715
Bharuch,1551019
Rajgarh,1545814
Chittaurgarh,1544338
Rajnandgaon,1537133
Kolar,1536401
Jammu,1529958
Kamrup,1517542
Gurgaon,1514432
Amreli,1514190
Shajapur,1512681
Kangra,1510075
Dharmapuri,1506843
Bhadrak,1506337
Karnal,1505324
Pashchimi Singhbhum,1502338
Raigarh,1493984
Deoghar,1492073
Bargarh,1481255
Vidisha,1458875
Karauli,1458248
Ratlam,1455069
Sonipat,1450001
Tikamgarh,1445166
Kendrapara,1440361
Uttara Kannada,1437169
Kanshiram Nagar,1436719
Tonk,1421326
Bastar,1413199
Jhalawar,1411129
Gandhinagar,1391753
Koppal,1389920
Dungarpur,1388552
Bathinda,1388525
Barwani,1385881
Koraput,1379647
Auraiya,1379545
Seoni,1379131
Munger,1367765
Ramanathapuram,1353445
Patan,1343734
Mandsaur,1340411
Sivaganga,1339101
Sawai Madhopur,1335551
Jind,1334152
Raisen,1331597
Navsari,1329672
Tinsukia,1327929
Dibrugarh,1326335
Garhwa,1322784
Gondiya,1322507
Dumka,1321442
Godda,1313551
Sehore,1311332
East Nimar,1310061
Kasaragod,1307375
Baghpat,1303048
Wardha,1300774
Sirsa,1295189
Katni,1292042
Anugul,1273821
Thiruvarur,1264277
Damoh,1264219
Chikkaballapura,1255104
Kamrup Metropolitan,1253938
Theni,1245899
Guna,1241519
Hoshangabad,1241350
Srinagar,1236829
Karimganj,1228686
Baran,1222755
Lalitpur,1221592
Nabarangapur,1220946
Yamunanagar,1214205
Korba,1206640
Dhaulpur,1206516
Panipat,1205437
Bhandara,1200334
Pathanamthitta,1197412
Washim,1197160
Dhenkanal,1192811
Singrauli,1178273
Udupi,1177361
Hingoli,1177345
Yadgir,1174271
Rajsamand,1156597
Sivasagar,1151050
Sahibganj,1150567
Chikmagalur,1137961
Jagatsinghapur,1136971
Ambala,1128350
Sidhi,1127033
Jehanabad,1125313
Tarn Taran,1119627
Shrawasti,1117361
Bundi,1110906
Idukki,1108974
Hamirpur,1104285
Jorhat,1092256
Narsimhapur,1091854
Mewat,1089263
Ramanagara,1082636
Anantnag,1078692
Kaithal,1074304
Gadchiroli,1072942
Golaghat,1066888
Shahdol,1066063
Saraikela Kharsawan,1065056
Gadag,1064570
Karur,1064493
Rohtak,1061204
Chandigarh,1055450
Mandla,1054905
Chatra,1042886
Palwal,1042708
Lakhimpur,1042137
Sambalpur,1041099
Sirohi,1036346
Mahasamund,1032754
Gumla,1025213
Jhabua,1025048
Chamarajanagar,1020791
Panna,1016520
Goalpara,1008183
Baramula,1008039
Lakhisarai,1000912
Mandi,999777
Moga,995746
Mohali,994628
Chitrakoot,991730
Bangalore Rural,990923
Rayagada,967911
Kurukshetra,964655
Nayagarh,962789
Jhajjar,958405
Morigaon,957423
Karbi Anglong,956313
Nainital,954605
Puducherry,950289
Baksa,950075
Ramgarh,949443
Fatehabad,942011
Darrang,928500
Mahendragarh,922088
Muktsar,901896
Pakur,900422
Rewari,900332
North Delhi,887978
Kokrajhar,887142
South Tripura,876001
Mahoba,875958
Kupwara,870354
Pratapgarh,867848
Jashpur,851669
Sindhudurg,849651
Ashoknagar,845071
Udalguri,831668
Neemuch,826067
East Khasi Hills,825922
Kabirdham,822526
North Goa,818008
Wayanad,817420
Kapurthala,815168
Shimla,814010
Tapi,807022
Dhamtari,799781
Jamtara,791042
Datia,786754
Nalbari,771639
Mansa,769751
Burhanpur,757847
Ariyalur,754894
Badgam,753745
Anuppur,749237
Kanker,748941
Bongaigaon,738804
The Nilgiris,735394
Kandhamal,733110
Alirajpur,728999
Latehar,726978
Kodarma,716259
Dindori,704524
Arwal,700843
North Tripura,693947
Sheopur,687861
Pauri Garhwal,687271
Dhemaji,686133
Rupnagar,684627
Jaisalmer,669919
Hailakandi,659296
Korea,658917
Sheohar,656246
Umaria,644758
West Garo Hills,643291
Rajouri,642415
South Goa,640537
Sheikhpura,636342
Almora,622506
Tehri Garhwal,618931
Faridkot,617508
Kathua,616435
Malkangiri,613192
Shahid Bhagat Singh Nagar,612310
Nuapada,610382
Subarnapur,610183
Fatehgarh Sahib,600163
Simdega,599578
Barnala,595527
Narmada,590297
Porbandar,585449
Central Delhi,582320
Solan,580320
Jharsuguda,579505
Gajapati,577817
Harda,570465
Perambalur,565223
Panchkula,561293
Pulwama,560440
Udhampur,554985
Kodagu,554519
Dantewada,533638
Khunti,531885
Sirmaur,529855
Una,521173
Chamba,519080
Imphal West,517992
Pithoragarh,483439
Chirang,482162
Punch,476835
Lohardaga,461790
Imphal East,456113
Hamirpur,454768
Baudh,441162
Kullu,437903
Kulgam,424483
Thoubal,422168
Doda,409936
Aizawl,400309
Jaintia Hills,395124
Bandipora,392232
Chamoli,391605
West Khasi Hills,383461
Bilaspur,381956
Dimapur,378811
Dhalai,378230
Dadra and Nagar Haveli,343709
Uttarkashi,330086
Samba,318898
East Garo Hills,317917
Reasi,314667
Debagarh,312520
Ganderbal,297446
Ramban,283713
East Sikkim,283583
Churachandpur,274143
Kohima,267988
Shupiyan,266215
Bageshwar,259898
Champawat,259648
Ri Bhoi,258840
Bijapur,255230
Mon,250260
Rudraprayag,242285
South Andaman,238142
Bishnupur,237399
Kishtwar,230696
The Dangs,228291
Dima Hasao,214102
Karaikal,200222
Tuensang,196596
Mokokchung,194622
Senapati,193744
Daman,191173
Ukhrul,183998
Papumpare,176573
Wokha,166343
Phek,163418
Lunglei,161428
Changlang,148226
South Sikkim,146850
Lohit,145726
Chandel,144182
South Garo Hills,142334
New Delhi,142004
Kargil,140802
Zunheboto,140757
Tamenglong,140651
Narayanpur,139820
West Sikkim,136435
Leh,133487
Champhai,125745
Lawngtlai,117894
West Siang,112274
Tirap,111975
North And Middle Andaman,105597
East Siang,99214
Peren,95219
Kurung Kumey,92076
Mamit,86364
Kinnaur,84121
Kolasib,83955
West Kameng,83947
Upper Subansiri,83448
Lower Subansiri,83030
East Kameng,78690
Kiphire,74004
Serchhip,64937
Lakshadweep,64473
Saiha,56574
Yanam,55626
Lower Dibang Valley,54080
Diu,52074
Longleng,50484
Tawang,49977
North Sikkim,43709
Mahe,41816
Nicobars,36842
Upper Siang,35320
Lahul and Spiti,31564
Anjaw,21167
Dibang Valley,8004
